UserID,FirstName,LastName,Mobile,Address,PinCode,State,Age,Gender,DOB
2.49E+11,Rasha,Venkatesh,2534831761,"528, Devi, Siwan 694904",509286,Andhra Pradesh,54,Female,4/10/1970
2.93E+11,Neelofar,Chakrabarti,5482921536,"68/37, Majumdar Road, Bhavnagar-715911",494128,Madhya Pradesh,83,Male,27/10/1941
4.47E+11,Nirvi,Bassi,2256709547,"75/68, Taneja Marg, Orai 023715",120036,Telangana,34,Female,4/3/1991
4.72E+11,Samaira,Sathe,325674085,"275, Shroff Marg, Hosur 060508",638520,Uttar Pradesh,61,Male,19/11/1963
7.49E+11,Jayan,Bansal,3556633274,"82/42, Saini Ganj, Pallavaram-276083",676000,Madhya Pradesh,72,Male,29/12/1952
6.25E+11,Kimaya,Raj,3183542766,"41/75, Sarkar, Maheshtala 850978",524728,Bihar,48,Female,25/09/1976
9.36E+11,Mehul,Kadakia,6578247782,"48, Vora Street, Howrah-741784",142928,Assam,73,Male,30/11/1951
8.22E+11,Hiran,Lad,7806552888,"23/02, Tiwari Nagar, Medininagar-220350",443546,Gujarat,85,Male,21/01/1940
5.68E+11,Taran,Ratti,4052171075,"H.No. 81, Hegde Marg, Tadepalligudem-992871",375787,Chhattisgarh,87,Male,5/10/1937
2.24E+11,Samaira,Ramesh,1557479008,"H.No. 229, Lalla Circle, Burhanpur 063175",910083,Karnataka,42,Male,1/7/1982
4.79E+11,Kismat,Kapadia,1392889773,"97, Mahajan Path, Kirari Suleman Nagar-542498",867479,Rajasthan,33,Male,25/08/1991
4.52E+11,Adah,Chowdhury,6530364196,"64/968, Mani Ganj, Nagaon-929135",761922,Haryana,55,Male,12/10/1969
9.69E+11,Armaan,Ghosh,7705977321,"856, Dave Nagar, Bongaigaon 340756",616870,West Bengal,86,Male,18/11/1938
9.91E+11,Saira,Dixit,960610727,"H.No. 197, Dugar Marg, Navi Mumbai 786739",369625,Telangana,41,Male,3/10/1983
8.61E+11,Anay,Sibal,1293720877,"H.No. 29, Jani, Tiruppur-916382",851954,West Bengal,87,Female,19/04/1938
2.45E+11,Mohanlal,Dixit,639916306,"H.No. 42, Jayaraman Marg, Mehsana 108281",626843,Telangana,75,Male,2/4/1950
6.95E+11,Charvi,Tandon,4922923538,"28/753, Bali Chowk, Bhusawal-972819",478184,Jammu and Kashmir,43,Male,21/05/1982
8.56E+11,Shalv,Raman,1782988759,"056, Bali Road, Silchar-821807",777091,Karnataka,77,Male,16/10/1947
5.10E+11,Aaina,Sanghvi,9250595017,"H.No. 82, Vig Circle, Howrah 268645",750696,Karnataka,46,Female,5/11/1978
3.28E+11,Kimaya,Loke,8507066087,"29/895, Mani Road, Ajmer-135001",10166,Jammu and Kashmir,69,Male,10/3/1956
6.75E+11,Nirvi,Singhal,6075734280,"41, Kothari Path, Phusro 903921",987854,Karnataka,69,Male,4/12/1955
1.14E+11,Priyansh,Wali,5760455810,"H.No. 49, Uppal Zila, Bhalswa Jahangir Pur-038707",71877,Kerala,51,Female,14/10/1973
8.20E+11,Indranil,Sehgal,2288702664,"05, Kota Street, Madanapalle 277121",669766,Gujarat,29,Male,6/6/1995
6.09E+11,Aaryahi,Wagle,5718136536,"18/282, Yogi Zila, Unnao-222883",729774,Uttar Pradesh,20,Female,11/11/2004
4.66E+11,Tara,Ben,3280220206,"H.No. 165, Roy Zila, Yamunanagar 120730",979638,Punjab,37,Male,14/05/1988
7.50E+11,Himmat,Sankaran,9899985802,"51/05, Swamy Road, Bhusawal 988707",243621,West Bengal,66,Female,29/07/1958
7.68E+11,Tejas,Anne,147201793,"320, Sheth Path, Panipat 320691",452365,Uttar Pradesh,62,Female,16/04/1963
4.36E+11,Fateh,Kant,6165851971,"78/96, Kannan Marg, Kamarhati 991642",434208,Karnataka,19,Male,31/01/2006
2.37E+11,Vardaniya,Acharya,1066425330,"H.No. 99, Badami Zila, Pudukkottai 156056",727189,Jharkhand,40,Female,22/01/1985
2.73E+11,Eshani,Ram,1803372078,"12/60, Mangat Zila, Secunderabad 654088",870083,Telangana,39,Female,12/1/1986
6.96E+11,Vaibhav,Ghosh,2453781365,"851, Sibal Ganj, Jorhat-049638",846524,Madhya Pradesh,64,Male,20/08/1960
2.57E+11,Tara,Das,2245826709,"H.No. 78, Bhardwaj, Guntur-675777",838952,Bihar,33,Male,11/8/1991
7.47E+11,Adira,Dugal,3656189532,"99/926, Sekhon Nagar, Bhiwani 176341",711819,Karnataka,84,Female,28/03/1941
